class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
e,1.06,b,g,g,f,,,g,3.16,1.56,,,w,,,f,f,,d,w
e,5.31,x,,y,f,a,c,y,3.86,9.18,,,w,,,f,f,,d,a
p,6.43,x,g,n,f,e,,w,6.84,13.03,,y,w,u,w,t,p,,d,u
p,2.59,o,,g,f,f,f,f,3.02,15.34,,g,n,,,f,f,,d,a
p,4.24,x,y,n,f,a,,w,5.63,3.68,,y,n,,,t,r,,h,a
e,8.42,p,y,w,f,e,c,k,5.67,13.56,,,w,,w,t,e,,m,a
p,7.46,f,w,p,f,s,c,p,4.66,9.73,,,p,,,f,f,,d,a
p,4.54,f,l,n,f,x,d,y,6.15,4.74,,,n,,,f,f,,d,a
p,17.24,s,k,w,t,d,d,n,7.89,33.64,,,w,,,f,f,,d,w
e,14.39,x,s,n,t,e,,g,9.67,18.65,s,,w,,,t,l,,m,u
p,1.74,b,h,n,f,a,,n,5.36,1.74,,t,n,,,f,f,,h,s
p,1.9,x,g,y,f,d,d,n,2.24,2.63,,s,n,,,f,f,,h,a
p,0.89,x,g,e,f,a,,p,4.05,0.97,,s,k,,,f,f,,d,a
e,3.9,x,s,p,f,a,c,e,4.39,6.89,,,e,,,f,f,,g,a
p,0.64,x,g,n,f,a,,p,3.88,0.86,,s,k,,,f,f,,d,u
p,5.25,c,e,w,t,x,c,r,4.87,12.31,,,w,,,f,f,,g,a
e,16.01,s,e,n,f,a,c,w,9.3,25.35,s,,w,,,f,f,,l,a
p,1.48,x,g,n,f,d,d,n,2.87,2.81,,s,n,,,f,f,,h,u
e,3.23,x,s,w,f,d,d,w,2.76,4.04,,,w,,,f,f,,m,a
p,4.91,f,,u,f,a,,w,4.69,7.76,,,y,,,f,f,,d,a
e,7.43,x,w,y,f,f,f,f,5.91,13.58,,,y,,,f,f,,d,a
e,15.35,f,e,g,f,d,c,w,8.94,24.82,s,,w,,,f,f,,d,a
p,11.11,x,t,n,f,a,d,w,11.78,33.87,,,w,,,f,f,,d,a
p,5.84,o,s,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
e,7.88,f,t,n,f,s,,n,8.65,12.02,,t,n,,,f,f,,d,a
e,3.39,s,,y,f,f,f,f,7.04,8.57,,,y,,,f,f,,d,a
e,4.93,c,,g,f,f,f,f,5.25,18.05,,,n,,,f,f,,d,s
p,7.74,s,,y,t,d,,o,5.88,12.95,,,w,,,t,f,,d,u
e,17.04,x,y,n,t,e,,w,10.38,17.91,,,w,,,t,,,d,u
p,1.38,x,,n,f,,,k,4.65,2.32,,s,n,,,f,f,k,g,a
e,2.33,x,h,n,f,,c,k,4.27,5.67,,s,w,,w,f,f,k,d,u
p,5.66,x,,g,f,d,c,y,5.34,9.48,b,,n,,,f,f,,d,w
e,7.14,f,y,n,f,e,c,p,4.17,12.73,,,w,,,t,r,,w,a
e,0.97,x,g,e,t,a,,p,4.58,0.93,,,n,,,f,f,,d,a
p,3.74,x,t,n,f,s,c,p,5.13,8.01,,,w,,n,t,z,,d,a
e,2.97,b,y,n,f,,c,n,7.2,3.45,,,w,,,f,f,,d,a
e,11.95,x,s,u,f,x,,n,7.61,24.28,,,p,,,f,f,,d,a
p,3.14,b,w,u,f,a,c,u,5.7,5.47,,s,u,,,f,f,,l,a
p,6.87,f,w,p,f,s,c,p,4.6,9.45,,,p,,,f,f,,d,w
e,3.86,f,y,n,f,a,d,p,9.42,4.03,,i,n,,,f,f,,l,u
e,8.92,f,s,n,f,a,d,w,8.27,11.57,,i,n,,,t,,w,d,u
e,5.16,s,,n,f,d,c,w,4.81,8.04,,s,w,,,f,f,,h,u
e,3.12,s,,n,f,f,f,f,6.17,7.27,,,y,,,f,f,,d,a
p,7.72,b,t,w,f,e,c,w,12.33,11.32,,y,w,u,w,t,e,,d,u
e,7.05,x,,n,t,p,,g,10.66,25.0,,y,w,,,f,f,,d,a
p,7.33,x,h,r,f,,c,w,10.65,12.5,,,w,u,w,t,g,,d,u
p,1.14,f,i,l,f,a,,w,1.81,2.09,,,w,,,f,f,p,g,u
e,2.82,s,y,n,f,d,d,p,6.0,3.5,,i,n,,,f,f,,h,a
e,1.17,c,g,n,t,a,,w,5.23,0.97,,,n,,,f,f,,d,a
p,9.34,x,y,y,f,a,c,y,12.29,9.94,,y,y,,,t,,,d,u
p,5.61,b,s,e,f,e,,y,5.92,8.32,,,k,,,f,f,,m,u
e,6.7,b,h,k,f,s,d,w,5.89,9.92,,s,g,,,f,f,,d,a
p,3.87,b,y,n,f,,c,w,5.93,4.35,s,s,w,,,f,f,,d,a
e,8.12,f,y,e,f,,,w,5.25,23.05,b,,n,,w,t,e,,d,w
p,4.49,c,i,y,f,,c,r,6.5,6.75,,,w,,,f,f,,d,u
p,17.61,f,g,e,f,e,,w,18.35,17.91,s,y,w,u,w,t,g,,d,u
e,7.23,f,g,o,f,s,,n,8.01,11.35,,t,n,,,f,f,,d,a
e,6.21,c,,n,f,f,f,f,5.82,20.32,,,n,,,f,f,,d,s
p,4.22,f,w,u,f,a,c,u,5.05,5.75,,s,u,,,f,f,,l,a
e,9.95,s,,g,f,s,c,b,6.51,19.52,,,b,,,f,f,,d,a
e,6.7,o,l,n,f,f,f,f,7.67,50.19,,,n,,,f,f,g,l,a
p,5.77,x,,n,f,d,c,y,5.81,10.95,b,,n,,,f,f,,l,w
p,8.38,s,t,p,t,d,c,p,7.63,13.42,,,p,,,t,f,,d,u
e,11.83,s,,w,t,d,c,w,6.05,26.25,,,w,,,f,f,,d,a
p,5.18,o,,w,f,f,f,f,5.24,30.21,,g,w,,,t,f,,p,a
p,8.69,x,i,n,f,a,,n,9.61,14.79,s,,n,,n,f,f,,d,a
p,8.68,x,i,n,f,a,c,n,8.3,8.84,,i,n,,k,t,z,k,g,a
e,7.83,f,d,w,f,s,c,w,8.09,31.16,,,w,,,f,f,,m,u
e,5.92,s,l,w,f,d,,w,3.39,8.13,,,w,,,f,f,,d,a
e,10.2,x,e,y,f,x,c,w,8.23,21.13,,,w,,,f,f,,d,a
p,1.45,b,h,n,f,a,,n,3.49,1.39,,t,n,,,f,f,,h,u
e,10.6,s,t,w,t,d,c,o,5.67,16.44,,,w,,,f,f,,d,a
p,6.13,x,i,y,f,a,c,n,8.56,7.98,,i,n,,k,t,z,k,d,a
e,7.49,s,,y,f,a,c,w,6.61,16.34,,,g,,,f,f,,d,a
e,4.06,x,h,n,f,x,c,w,4.94,5.87,,y,n,,,t,r,,d,w
e,3.47,x,t,n,f,d,,o,6.05,8.0,,t,w,,,f,f,,d,w
p,2.65,b,,g,f,a,,k,7.68,2.43,,,g,,w,f,f,k,g,u
e,8.51,x,,n,t,p,,g,11.44,26.66,,y,w,,,f,f,,d,u
p,4.4,x,,y,f,s,d,y,4.6,9.25,,i,y,,,f,f,,d,a
e,4.0,s,d,g,t,d,c,p,4.12,4.87,,,g,,,f,f,,d,u
e,8.74,x,s,n,f,e,c,w,6.56,10.32,,i,w,,,f,f,p,d,s
p,13.08,s,t,k,t,d,c,b,5.18,24.73,,,g,,,f,f,,d,u
p,0.54,f,,o,f,d,,o,3.94,0.83,,,y,,,f,f,w,g,u
p,12.33,x,,n,f,e,,w,10.71,13.09,,,w,u,w,t,g,,d,a
p,7.38,s,t,p,t,d,c,p,7.1,14.11,,,p,,,t,f,,d,u
p,5.71,f,t,e,f,x,,w,12.08,6.18,r,g,n,,,f,f,,d,u
e,9.4,x,t,n,t,p,,y,8.29,23.06,,,n,,,f,f,,d,a
e,16.54,x,e,n,t,e,,w,10.79,18.5,,,w,,,t,,,g,a
p,6.58,o,t,o,f,,c,y,1.55,16.13,,,y,,,f,f,,d,w
p,13.42,x,h,y,f,s,,p,8.58,18.06,,i,n,,,f,f,,d,a
p,5.49,b,i,e,f,e,,y,7.37,7.86,,,y,,,f,f,,m,u
e,11.41,f,e,b,f,,c,b,4.74,20.51,,,w,,,t,f,,d,a
p,8.36,b,y,n,f,,,k,14.18,17.5,,,w,,,f,f,,d,a
e,9.59,s,,g,f,s,c,g,7.41,22.27,b,,u,,,f,f,,g,w
p,7.18,x,i,n,f,a,c,n,8.5,7.5,,i,n,,k,t,z,k,g,u
p,4.28,o,,w,f,f,f,f,5.51,31.76,,g,w,,,t,f,,d,u
e,3.13,s,,n,f,f,f,f,6.12,7.11,,,y,,,f,f,,d,a
p,3.14,f,d,n,f,x,c,w,5.09,3.43,b,s,n,,,f,f,,d,a
e,3.75,f,d,g,t,d,c,p,4.63,6.63,,,g,,,f,f,,d,u
p,2.66,x,g,e,f,a,,w,7.5,2.55,,,n,,,f,f,,d,a
e,12.48,x,e,l,f,x,c,w,8.45,21.84,,,w,,,f,f,,d,a
p,5.07,x,,y,f,s,d,y,5.04,12.63,,i,y,,,f,f,,d,a
e,2.72,x,,b,f,,d,u,7.03,5.45,,,w,,,f,f,,d,w
p,22.41,x,d,o,f,p,,y,6.87,38.1,,,n,,,f,f,,d,w
p,5.59,c,e,w,t,x,c,r,8.64,13.12,,,w,,,f,f,,g,u
e,5.34,x,h,n,f,x,c,n,6.27,6.37,,y,n,,,t,r,,d,s
p,12.54,f,d,n,f,d,c,y,5.41,29.86,,k,k,,,f,f,,d,u
p,6.07,x,,n,f,d,c,y,5.62,9.64,b,,n,,,f,f,,l,a
p,4.26,f,y,n,f,e,c,w,4.95,3.53,,k,w,,,t,e,,m,u
e,4.74,x,h,o,f,a,d,y,7.77,5.88,,s,o,,,f,f,,d,a
e,4.2,x,s,n,f,p,,n,4.84,10.83,,,n,,,f,f,,d,a
e,7.42,x,,w,f,e,,w,6.21,12.86,b,,w,u,y,t,g,,d,a
p,5.31,f,y,e,f,s,c,y,6.54,17.41,,y,y,,,f,f,,d,a
p,8.47,x,i,y,f,a,c,n,8.03,8.26,,i,n,,k,t,z,k,g,a
e,10.77,s,,n,f,s,c,u,7.14,19.53,,,b,,,f,f,,l,a
e,11.64,f,,l,f,d,c,y,2.38,13.39,,,w,,,f,f,,d,w
p,4.52,f,,y,f,x,,w,5.74,6.77,,,w,,,f,f,,d,a
p,12.26,f,t,n,t,d,c,n,6.18,15.36,,,n,,,f,f,,h,a
e,6.08,x,,g,t,p,,g,9.88,22.45,,y,w,,,f,f,,d,a
p,5.72,p,s,g,f,,,w,10.37,12.32,,s,w,,,t,z,,d,u
p,6.47,x,s,r,t,s,d,w,5.98,16.74,r,y,n,,,f,f,,d,a
p,2.96,s,w,o,t,d,c,y,3.22,5.34,,,n,,,f,f,,d,a
p,2.66,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
e,11.1,x,e,l,f,x,c,w,7.52,21.97,,,w,,,f,f,,d,u
p,8.33,s,,o,t,d,,o,4.28,10.29,,,w,,,t,f,,d,a
e,11.44,p,s,w,t,e,,g,8.31,17.18,s,,w,,,t,r,,m,a
p,9.94,o,,e,f,f,f,f,3.68,25.78,,g,n,,,f,f,,d,u
p,3.23,x,s,g,f,d,c,w,2.75,5.89,,,w,,,f,f,,g,u
e,6.89,x,y,n,f,e,c,w,5.53,9.59,,y,n,,,f,f,,d,a
e,11.27,x,y,e,f,,,w,6.59,24.16,b,,n,,w,t,e,,d,a
p,8.35,x,y,w,t,,,n,8.5,15.09,s,,w,,,t,l,,d,u
p,4.7,b,s,y,f,,c,k,9.28,8.04,,,y,u,w,t,z,r,d,u
p,5.14,f,,y,f,s,d,y,6.88,13.94,,i,y,,,f,f,,d,a
e,0.82,p,g,w,f,,,g,3.17,1.5,,,w,,,f,f,,d,u
p,0.77,x,g,e,f,a,,p,4.0,1.11,,h,k,,,f,f,,d,s
p,2.72,x,s,g,f,d,c,w,3.68,8.47,,,w,,,f,f,,g,a
p,11.53,x,t,n,f,a,d,w,13.42,34.75,,,w,,,f,f,,d,a
p,2.19,b,g,o,f,,c,n,6.5,3.42,,,n,,,f,f,,m,a
p,1.39,o,k,n,f,,,n,3.07,1.48,,,n,,,f,f,,d,s
e,54.88,o,y,y,f,p,,y,6.72,33.24,,k,k,,,f,f,,d,s
p,3.46,x,t,n,f,s,c,p,5.36,9.46,,,w,,n,t,z,,d,a
e,47.63,o,y,y,f,p,,y,4.84,23.23,,k,k,,,f,f,,d,u
p,9.58,f,y,e,f,s,c,y,7.14,18.2,,y,u,,,f,f,,d,a
p,7.71,x,s,r,t,s,d,w,4.37,13.94,r,y,n,,,f,f,,d,a
p,8.25,x,h,r,f,,c,w,11.53,17.39,,,w,u,w,t,g,,d,a
p,3.55,x,,n,f,x,c,p,6.9,3.26,,,p,,,f,f,,d,a
e,4.79,x,t,o,f,a,d,y,6.12,5.4,,k,o,,,f,f,,d,s
p,4.59,o,s,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,12.0,x,e,n,t,p,,e,10.5,30.5,,,u,,,f,f,,d,a
e,1.52,c,g,n,f,a,,w,5.08,1.4,,,g,,,f,f,,d,u
p,7.61,p,y,n,f,,,k,13.53,17.59,,,w,,,f,f,,d,a
p,9.1,b,t,w,f,e,c,w,13.79,13.68,,y,w,u,w,t,e,,d,a
p,17.19,x,k,w,t,d,d,w,5.7,23.82,,,w,,,f,f,,d,u
e,8.75,x,e,l,f,x,c,w,7.36,20.07,,,w,,,f,f,,d,u
p,7.6,x,k,n,f,d,c,y,6.27,6.94,,i,n,,,t,,,d,a
e,3.54,x,,y,f,a,c,o,3.49,7.75,,,w,,,f,f,,d,u
e,6.21,x,d,y,t,p,,y,5.91,12.17,,,y,,,f,f,,d,u
p,7.51,f,,y,f,x,c,n,6.35,9.43,,,w,,,f,f,,d,a
p,6.52,x,w,n,f,x,,w,14.3,8.84,r,g,n,,,f,f,,d,a
p,7.01,o,k,n,f,,c,y,1.46,14.77,,,y,,,f,f,,d,a
p,0.7,f,,o,f,d,,o,4.8,1.0,,,y,,,f,f,w,g,a
p,7.52,x,h,e,f,x,d,w,6.04,16.84,b,,w,,,f,f,,d,a
e,15.31,x,y,n,t,e,,w,10.43,17.98,,,w,,,t,,,g,u
p,2.54,b,h,n,f,,,k,6.57,5.15,,,w,,,t,,k,g,a
p,3.0,s,w,o,t,d,c,n,3.87,6.67,,,n,,,f,f,,d,u
e,1.51,f,w,n,f,,d,g,4.41,2.39,,,w,,,f,f,,d,u
p,7.08,x,d,e,t,d,c,n,8.5,9.49,,,e,,,f,f,,d,a
p,6.93,s,,y,t,d,,o,5.34,11.49,,,w,,,t,f,,d,u
p,8.95,f,,n,f,x,c,w,9.46,11.47,r,i,w,,,f,f,,h,u
p,2.1,f,i,k,f,a,,w,5.13,2.62,,,w,,,f,f,p,g,a
p,7.98,s,h,g,t,d,,g,4.49,13.93,,t,r,,,f,f,,d,a
e,7.55,p,,g,f,a,,w,7.64,14.61,,,w,,,f,f,,d,u
p,6.59,x,i,n,f,a,c,k,7.18,7.61,,i,n,,k,t,z,k,g,u
p,3.92,o,s,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,a
e,14.38,x,y,n,t,e,,w,9.29,16.4,,,w,,,t,,,g,u
e,9.13,x,y,y,f,,,w,6.99,26.36,b,,n,,w,t,e,,d,a
p,1.51,f,,u,f,a,c,w,2.19,2.97,,i,u,,,f,f,,d,a
e,4.0,f,t,n,f,d,,o,5.91,7.87,,t,o,,,f,f,,d,a
e,5.8,f,y,n,f,s,,g,4.65,8.02,,,w,,,f,f,,d,u
e,4.41,x,s,n,f,p,,n,5.89,10.35,,,n,,,f,f,,d,a
p,13.22,x,s,w,f,s,,y,7.97,18.67,,i,n,,,f,f,,d,u
e,11.62,f,,b,f,d,c,w,2.6,16.72,,,w,,,f,f,,d,w
p,2.67,s,w,n,t,d,c,y,3.66,6.71,,,n,,,f,f,,d,a
e,4.34,x,t,o,f,p,,n,5.26,12.96,,,n,,,f,f,,d,u
p,7.78,f,w,p,f,s,c,p,4.91,10.34,,,p,,,f,f,,d,a
e,4.17,f,y,n,f,s,,w,4.43,6.68,,,w,,,f,f,,d,a
e,6.11,x,s,b,f,d,d,o,7.07,12.75,,,w,,,f,f,,m,w
p,8.18,f,,r,f,x,c,y,6.69,12.45,,,w,,,f,f,,d,a
p,8.05,b,t,w,f,e,c,w,12.57,12.34,,y,w,u,w,t,e,,d,a
e,3.67,f,d,g,t,d,c,p,4.7,6.14,,,n,,,f,f,,d,u
p,3.93,x,k,n,f,s,,p,3.96,3.46,,,n,,,f,f,p,g,a
p,8.0,f,w,p,f,s,c,p,4.89,10.4,,,p,,,f,f,,d,a
p,3.4,f,d,b,f,x,c,y,5.48,3.41,b,i,n,,,f,f,,d,u
e,5.3,s,w,y,f,f,f,f,5.87,15.82,,,y,,,f,f,,d,a
p,4.72,b,y,l,f,s,c,u,5.6,8.15,,y,w,,,t,e,u,m,a
p,3.42,f,y,e,f,e,c,w,4.67,3.41,,k,w,,,t,e,,m,u
e,5.09,f,y,n,f,s,,g,5.08,8.0,,,w,,,f,f,,d,a
p,16.6,f,t,n,t,d,c,w,5.43,25.88,,,n,,,f,f,,d,u
e,6.57,x,y,n,f,e,c,p,4.8,8.69,,y,n,,,f,f,,d,u
p,11.96,x,e,y,t,p,,o,8.05,29.82,,,u,,,f,f,,d,a
e,5.36,p,y,w,f,e,c,n,4.36,11.52,,,w,,w,t,e,,m,u
p,4.85,c,i,y,f,,c,n,6.08,6.65,,,w,,,f,f,,d,u
p,1.8,b,,n,f,a,,g,5.18,1.83,,s,g,,,f,f,,d,u
e,15.47,s,e,n,f,d,c,w,6.79,24.36,s,,w,,,f,f,,d,a
e,5.82,x,h,n,f,a,d,n,5.93,5.84,,t,g,,,t,l,,d,u
p,1.55,f,i,k,f,a,,p,3.63,2.42,,,w,,,f,f,p,g,u
p,9.3,p,g,n,f,e,,w,9.0,16.33,,y,w,u,w,t,p,,d,a
e,1.71,c,g,n,f,a,,g,5.3,1.48,,,g,,,f,f,,d,a
e,7.05,x,s,b,f,d,d,o,5.32,12.02,,,w,,,f,f,,m,a
e,8.95,x,e,l,f,x,c,w,7.22,20.48,,,w,,,f,f,,d,u
e,2.58,x,,b,f,,d,u,6.78,5.22,,,w,,,f,f,,d,w
p,3.5,x,i,e,f,,,e,4.27,5.33,,,e,,,f,f,n,d,a
p,8.85,s,,o,t,d,,o,4.84,12.55,,,w,,,t,f,,d,u
p,6.58,b,t,w,f,e,c,w,10.84,11.26,,y,w,u,w,t,e,,d,a
e,3.75,x,t,n,f,d,,o,5.72,5.88,,t,o,,,f,f,,d,a
e,5.3,o,l,n,f,f,f,f,6.97,64.21,,,n,,,f,f,g,l,w
e,6.03,s,,n,f,d,c,w,5.31,7.75,,s,w,,,f,f,,l,a
p,0.81,x,g,e,f,a,,n,4.1,0.93,,s,k,,,f,f,,d,u
p,6.1,x,s,n,t,s,d,w,6.16,14.58,r,i,w,,,f,f,,d,a
p,3.71,x,k,n,f,s,,p,3.87,3.18,,,n,,,f,f,p,g,u
p,11.12,x,y,n,f,a,c,y,11.83,13.23,,y,n,,,t,,,d,u
e,1.62,x,s,y,f,d,,w,6.02,2.1,,t,y,,,f,f,,g,a
e,6.77,x,,g,t,p,,g,11.26,25.74,,y,w,,,f,f,,d,u
e,3.49,b,g,w,f,x,d,w,4.18,2.69,,,y,,,f,f,,g,u
e,6.94,x,h,y,t,x,c,y,6.71,13.37,,,w,,,f,f,,d,a
p,0.97,b,t,y,f,,c,k,4.1,2.71,,,n,,,t,f,,m,u
e,7.63,f,,n,f,s,c,p,6.35,20.53,b,,u,,,f,f,,g,a
e,2.93,f,y,n,f,a,d,p,7.72,3.59,,i,n,,,f,f,,l,a
e,1.59,x,w,g,f,,d,k,5.7,2.64,,,w,,,f,f,,d,s
p,2.5,b,,g,f,a,,n,8.4,2.24,,,g,,w,f,f,k,g,u
p,1.72,b,,n,f,a,,g,5.19,2.09,,s,n,,,f,f,,d,u
p,0.85,b,t,y,f,,c,k,4.05,2.79,,,n,,,t,f,,m,a
e,48.45,o,y,y,f,p,,y,5.52,37.88,,k,k,,,f,f,,d,s
e,7.02,s,,y,f,a,c,w,5.25,12.9,,,w,,,f,f,,d,w
p,3.55,b,y,n,f,,c,w,6.06,4.47,s,s,w,,,f,f,,d,a
p,4.91,f,l,y,f,x,d,e,6.12,5.59,,,n,,,f,f,,l,u
e,3.62,x,d,p,f,a,c,o,4.62,6.87,,,e,,,f,f,,g,a
p,3.28,b,s,y,f,,c,k,7.22,6.72,,,y,u,w,t,z,k,d,u
p,13.68,x,h,y,f,s,,y,8.01,17.68,,i,n,,,f,f,,d,u
e,19.58,p,d,n,f,p,,n,17.16,34.06,s,y,w,,,f,f,,d,a
e,6.22,x,t,y,f,p,,y,6.04,13.43,,,y,,y,t,,,d,u
p,3.99,f,t,n,f,x,c,p,6.49,4.55,,i,n,,,f,f,,g,u
p,3.83,x,i,e,f,,,e,4.37,4.65,,,e,,,f,f,n,d,a
e,5.51,s,,n,f,d,c,w,4.95,7.1,,s,w,,,f,f,,l,u
p,3.0,o,,k,f,f,f,f,3.42,14.99,,g,g,,,f,f,,d,a
p,5.56,x,i,o,f,e,,y,6.95,7.4,,,y,,,f,f,,g,a
e,5.57,x,,n,t,,,w,10.63,16.83,b,,w,u,w,t,g,,d,u
e,8.05,f,w,y,f,f,f,f,5.85,16.73,,,y,,,f,f,,d,u
p,2.02,f,,u,f,a,,w,3.71,6.69,,,w,,,f,f,,d,a
p,3.5,x,s,g,f,d,c,w,3.24,8.28,,,w,,,f,f,,g,a
e,1.52,x,g,n,f,d,,w,6.27,2.05,,t,y,,,f,f,,d,a
e,9.12,f,e,b,f,,c,b,4.9,19.34,,,w,,,t,f,,d,a
e,6.48,f,h,k,f,s,d,w,4.69,9.37,,s,g,,,f,f,,d,u
p,4.01,s,,u,f,a,,w,4.47,7.17,,,w,,,f,f,,d,u
e,8.21,f,h,o,f,s,,n,10.49,13.12,,i,n,,,f,f,,d,a
e,4.4,x,s,n,f,p,,n,6.26,11.97,,,n,,,f,f,,d,a
p,1.19,f,s,y,f,f,f,f,3.07,4.74,,,y,,,f,f,,d,u
p,6.32,p,g,n,f,e,,w,7.46,13.16,,y,w,u,w,t,p,,d,a
p,3.44,f,d,b,f,x,c,y,5.03,3.3,b,s,n,,,f,f,,d,u
e,16.78,f,y,n,f,,,w,23.7,18.41,s,,n,,,t,m,,d,u
p,2.82,x,g,e,f,a,,p,9.11,2.57,,,w,,,f,f,,d,u
p,13.3,f,,n,f,e,,w,10.92,14.55,,,w,u,w,t,g,,d,u
p,3.61,f,,n,f,x,c,p,8.87,4.33,,,p,,,f,f,,l,u
p,2.77,f,w,n,t,d,c,n,3.3,5.7,,,n,,,f,f,,d,a
e,6.38,f,y,n,f,e,c,p,4.84,12.23,,,w,,,t,l,,w,u
p,5.33,o,t,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,0.83,x,,o,f,d,,o,4.2,1.03,,,y,,,f,f,w,g,a
p,6.76,x,s,n,t,s,d,r,5.23,13.64,r,i,n,,,f,f,,d,u
p,11.16,x,,n,f,p,,w,10.69,32.69,c,,n,,,f,f,p,d,a
e,6.29,x,h,y,t,x,c,y,7.77,15.68,,,w,,,f,f,,d,a
p,5.21,s,,e,t,d,c,w,7.15,6.41,,,n,,,f,f,,d,a
p,5.92,s,d,n,t,d,c,w,6.88,9.85,,,e,,,f,f,,d,a
p,0.55,x,g,y,f,,,y,3.25,0.58,,,y,,,f,f,,d,a
p,2.05,p,t,n,f,a,c,n,6.76,2.45,,t,y,,,t,e,,m,s
e,7.84,x,t,n,f,p,d,y,6.99,12.59,,s,n,,,f,f,,g,u
p,1.4,x,,n,f,,,k,5.33,2.78,,s,n,,,f,f,k,g,a
p,3.33,x,k,n,f,s,,p,4.0,2.83,,,n,,,f,f,p,g,a
p,2.78,x,y,l,f,s,c,g,5.36,6.59,,y,n,,,t,e,k,m,u
p,3.17,b,w,u,f,a,c,u,5.17,4.92,,s,u,,,f,f,,l,a
e,3.71,x,,y,f,a,c,y,3.3,7.72,,,w,,,f,f,,d,u
p,8.76,s,,o,t,d,,o,4.12,12.42,,,w,,,t,f,,d,a
p,2.39,f,,w,f,a,c,n,4.03,3.78,,i,u,,,f,f,,p,a
p,17.98,x,t,k,t,d,c,n,5.14,26.57,,,n,,,f,f,,d,u
p,6.92,x,w,p,f,s,c,p,4.08,9.21,,,p,,,f,f,,d,a
e,4.93,x,y,g,f,s,,y,3.62,6.74,,,w,,,f,f,,d,u
p,4.45,o,s,o,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,s
e,3.46,s,,y,f,f,f,f,6.16,8.0,,,y,,,f,f,,d,a
e,6.69,f,s,w,f,s,c,w,6.12,30.92,,,w,,,f,f,,m,s
p,3.87,b,t,n,f,x,c,p,5.95,4.68,,i,g,,,f,f,,g,u
p,6.39,f,y,u,f,s,c,y,5.2,11.46,,y,e,,,f,f,,d,a
e,6.78,x,d,n,t,p,,y,7.41,14.08,,,y,,,f,f,,d,a
e,6.67,x,,g,t,p,,g,9.83,22.97,,y,w,,,f,f,,d,a
e,10.3,x,t,n,t,p,,y,9.03,23.15,,,n,,,f,f,,d,u
p,5.72,s,d,y,f,d,c,o,3.61,6.54,,,o,,,f,f,,h,a
p,3.56,b,,n,f,a,,n,10.69,2.76,,,g,,w,f,f,k,g,u
p,12.3,x,t,r,t,d,c,n,7.1,16.43,,,n,,,f,f,,d,a
e,8.11,x,,y,f,e,,w,6.89,13.8,b,,y,u,w,t,g,,d,a
p,3.56,b,d,y,f,a,,r,5.15,7.13,,t,y,,,f,f,,g,u
e,4.21,f,,w,f,x,c,w,6.45,4.0,,,w,,,f,f,,d,u
p,1.24,b,t,y,f,,c,k,3.54,2.45,,,n,,,t,f,,m,u
p,7.27,f,h,e,f,x,d,w,6.41,16.85,b,,w,,,f,f,,d,u
e,5.57,s,,n,f,d,c,w,4.16,7.82,,s,w,,,f,f,,d,u
p,9.34,x,e,n,f,a,,n,10.55,12.82,s,,n,,e,f,f,,h,a
e,13.77,s,,w,t,d,c,p,6.45,27.47,,,w,,,f,f,,d,u
p,6.18,x,d,n,t,d,c,w,7.57,7.97,,,n,,,f,f,,d,a
e,7.12,x,s,k,f,a,c,w,4.52,16.0,,,w,,,f,f,,d,a
p,4.1,x,s,o,f,a,c,y,5.79,6.52,,g,o,,,f,f,,g,a
p,2.61,x,s,o,f,a,,y,3.08,5.51,,,y,,,f,f,,h,a
p,16.22,s,d,n,f,d,c,y,5.52,30.53,,k,k,,,f,f,,d,a
p,3.0,s,d,w,f,d,d,p,3.33,2.6,,h,w,,,f,f,,g,a
e,11.79,s,,w,t,d,c,p,6.36,27.28,,,w,,,f,f,,d,u
e,21.48,x,d,o,f,p,,n,17.66,36.89,s,y,w,,,f,f,,d,u
p,15.67,s,d,n,f,d,c,y,6.4,32.49,,k,k,,,f,f,,d,a
e,3.33,x,,y,f,a,c,y,3.21,8.64,,,w,,,f,f,,d,u
e,3.66,s,,y,f,f,f,f,6.27,7.7,,,o,,,f,f,,d,a
e,2.95,x,,b,f,,d,w,7.19,4.41,,,w,,,f,f,,d,w
e,9.77,x,s,n,f,e,c,w,7.56,10.66,,i,n,,,f,f,p,d,w
p,8.11,f,y,y,f,s,c,y,6.46,17.86,,y,u,,,f,f,,d,a
p,8.96,x,h,g,f,s,,p,6.62,16.69,,i,n,,,f,f,,d,a
e,10.0,f,,n,f,s,c,u,7.21,21.86,,,b,,,f,f,,d,w
e,0.8,p,g,g,f,,,g,3.08,1.28,,,w,,,f,f,,d,u
p,12.17,x,e,o,f,a,,o,11.61,21.34,r,,o,,,t,r,n,d,w
